ranking,pathway,size,ES,NES,p_value,FDR_BH
raw_spearman,HALLMARK_DNA_REPAIR,143,-0.31145760287086255,-1.5133092490690212,0.0030742204655248135,0.15371102327624067
raw_spearman,HALLMARK_OXIDATIVE_PHOSPHORYLATION,164,-0.27050380572192284,-1.3326508624493918,0.02735562310030395,0.5435597540860699
raw_spearman,HALLMARK_KRAS_SIGNALING_UP,190,0.26424015925236294,1.3056635574885567,0.03423423423423423,0.5435597540860699
raw_spearman,HALLMARK_NOTCH_SIGNALING,29,0.42356540270636817,1.4617284233511734,0.04905808477237049,0.5435597540860699
raw_spearman,HALLMARK_G2M_CHECKPOINT,179,0.2558470772334982,1.2538711155583269,0.06140035906642729,0.5435597540860699
raw_spearman,HALLMARK_ADIPOGENESIS,184,-0.24491509186850333,-1.2357641989097867,0.06522717049032839,0.5435597540860699
raw_spearman,HALLMARK_MYC_TARGETS_V1,171,0.24867329744728625,1.2153380335405235,0.0911070780399274,0.6507648431423386
raw_spearman,HALLMARK_HYPOXIA,187,0.24392799828208886,1.19754397217761,0.11025641025641025,0.6517047906776003
raw_spearman,HALLMARK_APICAL_JUNCTION,188,0.23882093987022085,1.1821767546057769,0.1286462228870606,0.6517047906776003
raw_spearman,HALLMARK_ALLOGRAFT_REJECTION,183,-0.23242735029555486,-1.1704263586162624,0.13034095813552007,0.6517047906776003
raw_spearman,HALLMARK_KRAS_SIGNALING_DN,187,-0.22483691557775667,-1.132674214389049,0.18185900314324202,0.7233680416499799
raw_spearman,HALLMARK_MITOTIC_SPINDLE,190,-0.2208395884828782,-1.1135475929635932,0.20136363636363636,0.7233680416499799
raw_spearman,HALLMARK_BILE_ACID_METABOLISM,109,0.25209609777152364,1.1422617420831598,0.20544918998527245,0.7233680416499799
raw_spearman,HALLMARK_TNFA_SIGNALING_VIA_NFKB,190,0.22504651459365851,1.112450745099664,0.21286591976870256,0.7233680416499799
raw_spearman,HALLMARK_PANCREAS_BETA_CELLS,37,-0.31074896565020993,-1.1622769451065147,0.2296849087893864,0.7233680416499799
raw_spearman,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,194,-0.2137361683707832,-1.0814023730224729,0.251779359430605,0.7233680416499799
raw_spearman,HALLMARK_INTERFERON_ALPHA_RESPONSE,92,0.2494671739140114,1.1007448105943323,0.27432634730538924,0.7233680416499799
raw_spearman,HALLMARK_IL2_STAT5_SIGNALING,191,0.21743984831022345,1.0738345568180758,0.28832784485912916,0.7233680416499799
